Zip code,Latitude,Longitude,Number of Level 2 chargers
49651,44.4793674,-85.43792195,2
49689,44.23642578,-85.73423788,7
49601,44.2384114,-85.5840298,1
48750,44.52868097,-83.3143913,4
49701,46.41845321,-86.6086644,24
49701,46.43816682,-86.68876188,20
49701,46.4022774,-86.64915545,16
49701,46.52709642,-86.1702353,9
49701,46.64238617,-85.96351439,42
49701,46.4627419,-86.416481,1
49701,46.40997363,-86.47707637,4
49701,46.35798701,-86.60459475,12
49630,46.34806615,-86.94796155,2
49701,46.41469219,-86.84773962,35
49701,46.27249212,-86.71286056,32
49080,42.5299317,-85.8530741,1
49453,42.5682834,-85.9114815,2
49080,42.5320513,-85.87727415,2
49406,42.469244,-85.967259,1
49009,42.4446525,-85.8707427,1
49453,42.65728167,-86.19763518,16
49406,42.64037924,-86.21517333,14
49406,42.61440508,-86.15896912,7
49453,42.67818266,-86.1793875,40
49453,42.72714045,-86.20555115,8
49453,42.68919965,-86.15053528,5
49453,42.7695186,-86.1066559,1
49453,42.75662395,-86.06820143,3
49348,42.68947973,-85.82241247,4
49453,42.6500092,-86.1057434,1
49348,42.6454322,-85.767469,1
49348,42.7213556,-85.7433887,1
49080,42.527684,-85.6891449,1
49348,42.5822518,-85.6644195,3
49453,42.58960915,-86.1154699,5
49406,42.56395695,-86.20258305,5
49406,42.50949645,-86.23626359,11
49406,42.46046966,-86.2362343,9
49406,42.4340545,-86.175979,1
49406,42.47120203,-86.10990153,5
49080,42.44894415,-85.6564156,2
49080,42.4934956,-85.5418031,1
49779,45.0643074,-83.4338095,1
49779,45.0886535,-83.4580459,1
49779,45.0609296,-83.47757525,2
49779,45.0817392,-83.4535708,1
49779,45.04883077,-83.44660087,4
49779,45.2122687,-83.4660971,1
49779,45.062705,-83.4824488,1
48737,44.94352485,-83.4421589,2
49779,45.1154573,-83.5598744,2
48737,44.8175955,-83.6048506,1
49646,44.902831,-85.0355366,7
49646,44.9319725,-85.0488586,1
49629,45.06936058,-85.25939006,6
49629,45.10741536,-85.35791774,6
49629,45.18506125,-85.3666453,2
49629,45.0847397,-85.1960335,2
49629,44.8899738,-85.41635343,7
49629,44.90828884,-85.39625258,7
49629,44.85642329,-85.31669361,11
49629,44.9398727,-85.2284851,1
49629,44.98512332,-85.20929463,8
49629,44.95633949,-85.15241554,11
49629,44.92797184,-85.25214386,11
49629,44.8801036,-85.27533735,2
49629,44.94138342,-85.16951564,13
48631,43.98750045,-83.95904525,2
48631,43.9477057,-83.9276634,1
48661,44.0736188,-84.0195827,1
48661,44.0833564,-84.037969,2
48763,44.0399704,-83.9289474,1
49630,46.7319946,-88.3423843,1
49630,46.86480443,-88.23153574,10
49630,46.77520098,-88.50199885,6
49630,46.75211235,-88.6757813,6
49348,42.647685,-85.3120002,1
49348,42.6774974,-85.3829212,1
49348,42.7001138,-85.2802471,1
49348,42.616866,-85.2134616,1
49080,42.5532417,-85.3737106,1
49080,42.4958645,-85.4253553,1
49348,42.6419991,-85.5032359,1
49348,42.6169612,-85.44855785,2
49348,42.6153315,-85.52909128,6
49348,42.767634,-85.462663,1
49080,42.5523435,-85.5193402,1
49080,42.49488395,-85.52402115,8
48631,43.9251118,-84.1961598,1
48631,43.80179405,-83.932682,3
48631,43.6259932,-83.93932673,4
48631,43.5571872,-83.9557529,1
48602,43.55706,-83.948916,1
49630,44.67803935,-86.2500469,2
49630,44.6421852,-86.1990331,4
49630,44.70384115,-86.06212175,2
49630,44.69589953,-86.17879673,4
49630,44.67850538,-86.07515555,21
49630,44.61182468,-86.09476331,22
49630,44.6654042,-86.02119934,10
49685,44.659295,-85.9565791,1
49685,44.74136297,-85.85711067,4
49685,44.6075554,-85.9054337,1
49406,42.0809314,-86.5023693,1
49406,42.1167131,-86.4541589,1
49406,42.08123574,-86.41733581,14
49406,42.07224805,-86.43163833,7
49406,42.1869217,-86.3726747,1
49406,42.2180292,-86.36142868,7
49009,42.17931755,-86.25815035,2
49009,42.2095126,-86.2387152,2
49406,42.20908204,-86.280858,15
49009,42.09783423,-86.2264481,4
49406,42.03357896,-86.5169485,12
49009,41.9299736,-86.2994385,2
49009,41.96173443,-86.4891547,4
49009,42.07174323,-85.92274327,4
49009,41.79034547,-86.75910533,3
49009,41.79595248,-86.74277256,6
