Zip code,Latitude,Longitude,Number of required Level 2 chargers
48502,43.117349,-83.698917,17
48502,43.117302,-83.623159,13
48502,43.031749,-83.518751,125
48502,43.033756,-83.60603,3
48502,43.002697,-83.627462,28
48507,42.971366,-83.662463,5
48507,42.969312,-83.679305,34
48502,43.024499,-83.792558,13
48502,43.018115,-83.756922,84
48507,42.968289,-83.710203,3
48507,42.962663,-83.825849,26
48507,42.805872,-83.709981,39
48507,42.825352,-83.865887,8
48507,42.84834,-83.711521,13
48507,42.819363,-83.781063,3
49630,46.451702,-90.152465,21
49630,46.461819,-90.176707,11
49685,44.762864,-85.600646,9
49685,44.729354,-85.543835,9
48801,43.370451,-84.65635,10
48801,43.404858,-84.476384,2
48801,43.248329,-84.426443,1
49202,41.841789,-84.751241,1
48763,43.984338,-82.94694,1
48763,43.959346,-83.181762,5
48763,43.870627,-83.292714,1
48763,43.893673,-83.063156,1
48763,43.845376,-82.656131,5
48823,42.76277,-84.588404,24
48823,42.752285,-84.57206,2
48823,42.739907,-84.575458,2
48823,42.746854,-84.531113,25
48823,42.734724,-84.531965,27
48823,42.727343,-84.524905,1
48823,42.721699,-84.529916,3
48842,42.70854,-84.590821,45
48842,42.710196,-84.570357,19
48823,42.71707,-84.548385,24
48842,42.709459,-84.531459,3
48842,42.690361,-84.597104,40
48842,42.692919,-84.586924,14
48842,42.69379,-84.572455,32
48842,42.704227,-84.550355,18
48842,42.690355,-84.553889,14
48842,42.689494,-84.53925,3
48842,42.698595,-84.514959,37
48823,42.746744,-84.592613,18
48823,42.732678,-84.594482,27
48823,42.752529,-84.500596,53
48823,42.761446,-84.492047,87
48823,42.75152,-84.473588,37
48823,42.740031,-84.494307,40
48823,42.731971,-84.46369,137
48823,42.724572,-84.500028,52
48823,42.7177,-84.502351,36
48823,42.641631,-84.314146,1
48842,42.645299,-84.51583,60
48842,42.643882,-84.533266,24
48842,42.577308,-84.455744,42
49202,42.452346,-84.429223,7
48842,42.553138,-84.542605,1
49202,42.448311,-84.175645,4
49202,42.468601,-84.311454,1
48846,42.782421,-85.137459,8
48750,44.38155,-83.365975,3
48750,44.468374,-83.587009,7
49630,46.016458,-88.284564,1
49202,42.261328,-84.397775,11
49202,42.259144,-84.387057,24
49202,42.237479,-84.400783,18
49202,42.366082,-84.65778,3
49202,42.197427,-84.555395,14
49202,42.115322,-84.652182,1
